xsel 1.2.0.20160929-1
xterm 331-1
xvidcore 1.3.5-1
xz 5.2.3-1
yajl 2.1.0-1
yaourt 1.9-1
zd1211-firmware 1.5-1
zenity 3.28.1-1
zeromq 4.2.2-2
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.6.0-2
zlib 1:1.2.11-2
zsh 5.5-1
zstd 1.3.4-1
zvbi 0.2.35-1
